Dwarf,FunctionName,ClassName,PreciseName,Params,,PreciseSrcType (vTrust),SrcType (IFCC),SafeSrcType (IFCC-safe),BinType (TypeArmor),Baseline,,PreciseSrcType-VFunctions,SrcType-VFunctions,SafeSrcType-VFunctions,BinType-VFunctions,Baseline-VFunctions,,VTableSubHierarchy (ShrinkWrap),ClassSubHierarchy (VTV),ClassIsland (Marx),AllVTables (vTint)
(The dwarf info of this callsite),(The least-derived vfunction used at this vcall),(The class defining functionname),(The least-derived class of the object used at this vcall),(# of params provided by this callsite (=# consumed)),,(func sig matching including C/C++ func name & ret type),(param type matching w/ pointer types),(param type matching wo/ pointer types),(Callsite param >= Callee param (up to 6),(total # of functions),,(PreciseSrcType only virtual targets),(SrcType only virtual targets),(SafeSrcType only virtual targets),(BinType only virtual targets),(total # of virtual targets),,(targets at offset in vTable hierarchy with PreciseName as root),(targets at offset in class hierarchy with PreciseName as root),(targets in class hierarchy island containing PreciseName),(targets in any vtable)
../lib/ts/Ptr.h:215:5,_ZN13IOBufferBlock4freeEv,_ZTV13IOBufferBlock,_ZTV13IOBufferBlock,1,,17,1315,1315,2608,6201,,13,97,97,232,796,,1,1,7,788
../lib/ts/Ptr.h:215:5,_ZN10ProxyMutex4freeEv,_ZTV10ProxyMutex,_ZTV10ProxyMutex,1,,17,1315,1315,2608,6201,,13,97,97,232,796,,1,1,7,788
../lib/ts/Ptr.h:215:5,_ZN10ProxyMutex4freeEv,_ZTV10ProxyMutex,_ZTV10ProxyMutex,1,,17,1315,1315,2608,6201,,13,97,97,232,796,,1,1,7,788
../lib/ts/Ptr.h:236:5,_ZN10ProxyMutex4freeEv,_ZTV10ProxyMutex,_ZTV10ProxyMutex,1,,17,1315,1315,2608,6201,,13,97,97,232,796,,1,1,7,788
../lib/ts/Ptr.h:215:5,_ZN13IOBufferBlock4freeEv,_ZTV13IOBufferBlock,_ZTV13IOBufferBlock,1,,17,1315,1315,2608,6201,,13,97,97,232,796,,1,1,7,788
../lib/ts/Ptr.h:236:5,_ZN10ProxyMutex4freeEv,_ZTV10ProxyMutex,_ZTV10ProxyMutex,1,,17,1315,1315,2608,6201,,13,97,97,232,796,,1,1,7,788
../lib/ts/Ptr.h:215:5,_ZN10ProxyMutex4freeEv,_ZTV10ProxyMutex,_ZTV10ProxyMutex,1,,17,1315,1315,2608,6201,,13,97,97,232,796,,1,1,7,788
../lib/ts/Ptr.h:236:5,_ZN12IOBufferData4freeEv,_ZTV12IOBufferData,_ZTV12IOBufferData,1,,17,1315,1315,2608,6201,,13,97,97,232,796,,1,1,7,788
../lib/ts/Ptr.h:236:5,_ZN13IOBufferBlock4freeEv,_ZTV13IOBufferBlock,_ZTV13IOBufferBlock,1,,17,1315,1315,2608,6201,,13,97,97,232,796,,1,1,7,788
../lib/ts/Ptr.h:236:5,_ZN13IOBufferBlock4freeEv,_ZTV13IOBufferBlock,_ZTV13IOBufferBlock,1,,17,1315,1315,2608,6201,,13,97,97,232,796,,1,1,7,788
../lib/ts/Ptr.h:215:5,_ZN10ProxyMutex4freeEv,_ZTV10ProxyMutex,_ZTV10ProxyMutex,1,,17,1315,1315,2608,6201,,13,97,97,232,796,,1,1,7,788
../lib/ts/Ptr.h:236:5,_ZN10ProxyMutex4freeEv,_ZTV10ProxyMutex,_ZTV10ProxyMutex,1,,17,1315,1315,2608,6201,,13,97,97,232,796,,1,1,7,788
../lib/ts/Ptr.h:215:5,_ZN10ProxyMutex4freeEv,_ZTV10ProxyMutex,_ZTV10ProxyMutex,1,,17,1315,1315,2608,6201,,13,97,97,232,796,,1,1,7,788
../lib/ts/Ptr.h:215:5,_ZN10ProxyMutex4freeEv,_ZTV10ProxyMutex,_ZTV10ProxyMutex,1,,17,1315,1315,2608,6201,,13,97,97,232,796,,1,1,7,788
../lib/ts/Ptr.h:215:5,_ZN10ProxyMutex4freeEv,_ZTV10ProxyMutex,_ZTV10ProxyMutex,1,,17,1315,1315,2608,6201,,13,97,97,232,796,,1,1,7,788
../lib/ts/Ptr.h:248:7,_ZN10ProxyMutex4freeEv,_ZTV10ProxyMutex,_ZTV10ProxyMutex,1,,17,1315,1315,2608,6201,,13,97,97,232,796,,1,1,7,788
../lib/ts/Ptr.h:248:7,_ZN10ProxyMutex4freeEv,_ZTV10ProxyMutex,_ZTV10ProxyMutex,1,,17,1315,1315,2608,6201,,13,97,97,232,796,,1,1,7,788
../lib/ts/Ptr.h:248:7,_ZN10ProxyMutex4freeEv,_ZTV10ProxyMutex,_ZTV10ProxyMutex,1,,17,1315,1315,2608,6201,,13,97,97,232,796,,1,1,7,788
../lib/ts/Ptr.h:248:7,_ZN10ProxyMutex4freeEv,_ZTV10ProxyMutex,_ZTV10ProxyMutex,1,,17,1315,1315,2608,6201,,13,97,97,232,796,,1,1,7,788
../lib/ts/Ptr.h:215:5,_ZN10ProxyMutex4freeEv,_ZTV10ProxyMutex,_ZTV10ProxyMutex,1,,17,1315,1315,2608,6201,,13,97,97,232,796,,1,1,7,788
../lib/ts/Ptr.h:236:5,_ZN10ProxyMutex4freeEv,_ZTV10ProxyMutex,_ZTV10ProxyMutex,1,,17,1315,1315,2608,6201,,13,97,97,232,796,,1,1,7,788
/home/matt/Documents/TestPrograms/trafficserver/trafficserver-7.1.1/iocore/eventsystem/P_VIO.h:111:5,_ZN11VConnection8reenableEP3VIO,_ZTV11VConnection,_ZTV11VConnection,2,,15,313,313,4085,6201,,15,58,58,546,796,,16,16,17,788
../lib/ts/Ptr.h:236:5,_ZN10ProxyMutex4freeEv,_ZTV10ProxyMutex,_ZTV10ProxyMutex,1,,17,1315,1315,2608,6201,,13,97,97,232,796,,1,1,7,788
/home/matt/Documents/TestPrograms/trafficserver/trafficserver-7.1.1/iocore/eventsystem/P_VIO.h:111:5,_ZN11VConnection8reenableEP3VIO,_ZTV11VConnection,_ZTV11VConnection,2,,15,313,313,4085,6201,,15,58,58,546,796,,16,16,17,788
../lib/ts/Ptr.h:215:5,_ZN10ProxyMutex4freeEv,_ZTV10ProxyMutex,_ZTV10ProxyMutex,1,,17,1315,1315,2608,6201,,13,97,97,232,796,,1,1,7,788
../lib/ts/Ptr.h:215:5,_ZN10ProxyMutex4freeEv,_ZTV10ProxyMutex,_ZTV10ProxyMutex,1,,17,1315,1315,2608,6201,,13,97,97,232,796,,1,1,7,788
../lib/ts/Ptr.h:215:5,_ZN10ProxyMutex4freeEv,_ZTV10ProxyMutex,_ZTV10ProxyMutex,1,,17,1315,1315,2608,6201,,13,97,97,232,796,,1,1,7,788
../lib/ts/Ptr.h:215:5,_ZN10ProxyMutex4freeEv,_ZTV10ProxyMutex,_ZTV10ProxyMutex,1,,17,1315,1315,2608,6201,,13,97,97,232,796,,1,1,7,788
../lib/ts/Ptr.h:215:5,_ZN10ProxyMutex4freeEv,_ZTV10ProxyMutex,_ZTV10ProxyMutex,1,,17,1315,1315,2608,6201,,13,97,97,232,796,,1,1,7,788
../lib/ts/Ptr.h:215:5,_ZN10ProxyMutex4freeEv,_ZTV10ProxyMutex,_ZTV10ProxyMutex,1,,17,1315,1315,2608,6201,,13,97,97,232,796,,1,1,7,788
../lib/ts/Ptr.h:236:5,_ZN10ProxyMutex4freeEv,_ZTV10ProxyMutex,_ZTV10ProxyMutex,1,,17,1315,1315,2608,6201,,13,97,97,232,796,,1,1,7,788
../lib/ts/Ptr.h:236:5,_ZN10ProxyMutex4freeEv,_ZTV10ProxyMutex,_ZTV10ProxyMutex,1,,17,1315,1315,2608,6201,,13,97,97,232,796,,1,1,7,788
../lib/ts/Ptr.h:236:5,_ZN10ProxyMutex4freeEv,_ZTV10ProxyMutex,_ZTV10ProxyMutex,1,,17,1315,1315,2608,6201,,13,97,97,232,796,,1,1,7,788
../../lib/ts/Ptr.h:236:5,_ZN11RefCountObj4freeEv,_ZTV11RefCountObj,_ZTV11RefCountObj,1,,17,1315,1315,2608,6201,,13,97,97,232,796,,7,7,7,788
../lib/ts/Ptr.h:215:5,_ZN10ProxyMutex4freeEv,_ZTV10ProxyMutex,_ZTV10ProxyMutex,1,,17,1315,1315,2608,6201,,13,97,97,232,796,,1,1,7,788
../../lib/ts/Ptr.h:215:5,_ZN11RefCountObj4freeEv,_ZTV11RefCountObj,_ZTV11RefCountObj,1,,17,1315,1315,2608,6201,,13,97,97,232,796,,7,7,7,788
../lib/ts/Ptr.h:215:5,_ZN10ProxyMutex4freeEv,_ZTV10ProxyMutex,_ZTV10ProxyMutex,1,,17,1315,1315,2608,6201,,13,97,97,232,796,,1,1,7,788
